#lambda    flux1    flux2    flux3    flux4
4131.51   0.0254   0.0269  -0.0264  -0.0001
4132.48   0.0250   0.0286  -0.0267  -0.0101
4133.44   0.0250   0.0297  -0.0227  -0.0116
4134.41   0.0254   0.0290  -0.0182  -0.0034
4135.37   0.0259   0.0283  -0.0138   0.0096
4136.34   0.0262   0.0273  -0.0104   0.0215
4137.30   0.0264   0.0269  -0.0077   0.0281
4138.27   0.0266   0.0277  -0.0048   0.0304
4139.23   0.0268   0.0267  -0.0019   0.0436
4140.20   0.0270   0.0262   0.0032   0.0519
4141.17   0.0271   0.0274   0.0050   0.0494
4142.13   0.0269   0.0287  -0.0028   0.0391
4143.10   0.0262   0.0292  -0.0109   0.0107
4144.07   0.0254   0.0300  -0.0111  -0.0100
4145.04   0.0254   0.0299  -0.0094   0.0003
4146.00   0.0262   0.0290  -0.0051   0.0223
4146.97   0.0268   0.0290  -0.0012   0.0304
4147.94   0.0268   0.0297  -0.0015   0.0289
4148.91   0.0266   0.0296  -0.0028   0.0214
4149.88   0.0265   0.0286  -0.0018   0.0131
4150.85   0.0265   0.0288  -0.0041   0.0186
4151.82   0.0267   0.0289  -0.0057   0.0210
4152.79   0.0267   0.0285  -0.0066   0.0163
4153.76   0.0264   0.0295  -0.0087   0.0090
4154.73   0.0260   0.0305  -0.0129  -0.0079
4155.70   0.0258   0.0303  -0.0134  -0.0132
4156.67   0.0260   0.0311  -0.0132  -0.0122
4157.64   0.0261   0.0311  -0.0126  -0.0114
4158.61   0.0263   0.0302  -0.0091  -0.0026
4159.58   0.0265   0.0294  -0.0066   0.0064
4160.55   0.0266   0.0291  -0.0043   0.0166
4161.52   0.0266   0.0294  -0.0031   0.0130
4162.49   0.0265   0.0296  -0.0012   0.0082
4163.46   0.0264   0.0289   0.0001   0.0113
4164.44   0.0264   0.0284   0.0028   0.0151
4165.41   0.0266   0.0278   0.0065   0.0259
4166.38   0.0267   0.0280   0.0027   0.0291
4167.35   0.0265   0.0280  -0.0007   0.0149
4168.33   0.0264   0.0287   0.0010   0.0069
4169.30   0.0266   0.0289   0.0021   0.0155
4170.27   0.0268   0.0279  -0.0005   0.0199
4171.25   0.0264   0.0292  -0.0066   0.0033
4172.22   0.0256   0.0303  -0.0140  -0.0265
4173.20   0.0251   0.0315  -0.0173  -0.0473
4174.17   0.0252   0.0314  -0.0142  -0.0460
4175.15   0.0255   0.0303  -0.0080  -0.0294
